zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60638,0.0,0.0,12.0,18.0,25.0,25.0,0.0,8.0,6.0
60446,0.0,0.0,6.0,8.0,11.0,10.0,0.0,0.0,0.0
60901,0.0,0.0,12.0,13.0,17.0,22.0,10.0,7.0,9.0
60546,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
60452,0.0,0.0,0.0,6.0,0.0,6.0,8.0,0.0,0.0
60120,0.0,0.0,6.0,0.0,10.0,8.0,6.0,0.0,0.0
60523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60475,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
60045,0.0,0.0,0.0,0.0,9.0,19.0,9.0,0.0,0.0
60068,0.0,0.0,0.0,12.0,11.0,7.0,12.0,0.0,12.0
60406,0.0,0.0,0.0,11.0,0.0,10.0,7.0,0.0,6.0
60091,0.0,0.0,11.0,0.0,14.0,11.0,8.0,8.0,0.0
62298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60429,0.0,0.0,0.0,6.0,6.0,14.0,19.0,7.0,8.0
60137,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
60515,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
60621,0.0,0.0,7.0,14.0,10.0,21.0,19.0,6.0,0.0
60609,0.0,0.0,11.0,13.0,22.0,21.0,12.0,12.0,7.0
62035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60661,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
60074,0.0,0.0,6.0,6.0,0.0,0.0,7.0,0.0,0.0
60423,0.0,0.0,0.0,0.0,7.0,8.0,9.0,8.0,6.0
62095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60615,0.0,0.0,10.0,12.0,21.0,27.0,21.0,6.0,10.0
60469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60463,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0
60131,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0
60649,0.0,0.0,10.0,16.0,25.0,23.0,24.0,32.0,16.0
60655,0.0,0.0,8.0,12.0,10.0,15.0,10.0,0.0,6.0
60606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60506,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,11.0
60629,0.0,0.0,19.0,21.0,30.0,40.0,28.0,16.0,8.0
60014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60586,0.0,0.0,0.0,7.0,17.0,14.0,7.0,0.0,0.0
62221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60443,0.0,0.0,10.0,17.0,21.0,11.0,18.0,15.0,6.0
61282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60641,0.0,0.0,9.0,19.0,18.0,9.0,14.0,0.0,0.0
60051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
